"","GEOID","mgr_2022","ahv_2022","mhi_2022","mgr_2017","ahv_2017","mhi_2017","mgr_2012","ahv_2012","mhi_2012"
"1","0100190171",466,102900,32025,531,86800,36450,532,81800,40577
"2","0100190315",742,133500,35761,666,96700,46607,392,77000,52563
"3","0100192106",999,202100,74361,734,120200,49469,690,95900,45208
"4","0100192628",1229,196500,73045,959,152900,58870,872,146700,56995
"5","0100390207",879,166400,55117,645,141400,42639,662,119100,44395
"6","0100390846",1365,304300,88740,1090,217600,74013,1063,199800,69118
"7","0100390963",941,198400,57228,905,154500,47733,715,151600,40926
"8","0100391053",1409,365900,82485,1016,225300,61404,1029,213200,54506
"9","0100391152",1135,281200,64809,872,183700,46862,847,173500,45768
"10","0100392754",1069,211500,65425,798,140800,46836,827,136400,48116
"11","0100393024",758,144500,54156,666,77600,41387,296,56900,36750
"12","0100393042",909,197100,54417,698,129500,35490,796,119600,39411
"13","0100590189",635,65800,54891,708,85000,39458,675,106000,38370
"14","0100590630",704,97400,38589,473,74300,31042,465,62000,25465
"15","0100590648",452,60200,38261,435,73100,32583,528,68800,35625
"16","0100591017",638,127800,38750,579,108500,32091,575,112000,32391
"17","0100591989",752,100700,33864,458,74800,31442,444,62600,26875
"18","0100790531",685,117600,47043,639,110400,41328,558,87000,31443
"19","0100792601",NA,126000,NA,NA,NA,54583,NA,56300,31994
"20","0100793438",850,121800,58339,768,101000,44730,609,96100,43056
"21","0100990333",734,158100,55022,570,117000,40518,609,100400,42724
"22","0100990414",677,122800,59722,581,86000,37781,583,91700,36364
"23","0100990612",692,146100,49464,495,88600,42120,598,87900,36286
"24","0100990639",958,131300,58466,645,113900,45809,698,98400,41425
"25","0100991557",885,175400,77325,783,137800,60132,769,130800,58341
"26","0100991953",811,147700,56695,699,115800,42834,582,120800,46220
"27","0100992439",646,166400,49674,666,139800,48028,546,123400,43670
"28","0101191098",NA,NA,42891,NA,156700,44583,NA,260700,60739
"29","0101191701",576,88800,61582,NA,52900,42177,730,140400,40506
